file,line,operation,api_matches,canonical_reference,text
src/tp_models/factor_recommendation/inputs.py,12,read,read_screen_aggregate;read_returns,True,"from tp_core.io import read_returns, read_screen_aggregate"
src/tp_models/factor_recommendation/inputs.py,70,read,read_screen_aggregate,True,"screen = read_screen_aggregate(Path(screen_path), columns=screen_columns)"
src/tp_models/ml/cli.py,35,read,read_parquet,True,"screen = pd.read_parquet(SCREEN_AGGREGATE_PATH, columns=columns)"
src/tp_models/ml/cli.py,37,read,read_parquet,True,screen = pd.read_parquet(SCREEN_AGGREGATE_PATH)
src/tp_models/ml/production.py,52,read,read_parquet,True,screen = pd.read_parquet(SCREEN_AGGREGATE_PATH)
src/tp_models/ml/signals.py,30,read,read_parquet,True,"return pd.read_parquet(SCREEN_AGGREGATE_PATH, columns=columns)"
src/tp_models/ml/signals.py,33,read,read_parquet,True,return pd.read_parquet(SCREEN_AGGREGATE_PATH)
src/tp_models/regime/returns_loader.py,19,read,read_parquet,True,r = pd.read_parquet(config.RETURNS_PATH)
src/tp_models/sector/improvement_research.py,123,read,read_parquet,True,"screen = pd.read_parquet(model.SCREEN_AGGREGATE_PATH, columns=list(dict.fromkeys(columns))).reset_index()"
src/tp_pipelines/refresh_data.py,207,read,read_parquet,True,"frame = pd.read_parquet(RETURNS_PATH, columns=[])"
src/tp_pipelines/refresh_factor_recommendation.py,25,read,read_screen_aggregate,True,from tp_core.io import read_screen_aggregate
src/tp_pipelines/refresh_factor_recommendation.py,268,read,read_screen_aggregate,True,"screen = read_screen_aggregate(screen_path, columns=columns)"
src/tp_pipelines/refresh_supplemental_data.py,106,read,read_parquet,True,latest = ensure_isin_column(pd.read_parquet(LAST_SCREEN_PATH))
src/tp_pipelines/refresh_supplemental_data.py,417,read,read_parquet,True,"date_frame = pd.read_parquet(SCREEN_AGGREGATE_PATH, columns=[""Date""])"
src/tp_pipelines/refresh_supplemental_data.py,448,read,read_parquet,True,"pd.read_parquet(SCREEN_AGGREGATE_PATH, columns=qa_columns)"
src/tp_pipelines/refresh_supplemental_data.py,589,read,read_parquet,True,original_screen = pd.read_parquet(SCREEN_AGGREGATE_PATH)
src/tp_research/runtime.py,69,read,read_parquet,True,"screen = pd.read_parquet(SCREEN_AGGREGATE_PATH, columns=[""Date""])"
src/tp_research/runtime.py,77,read,read_parquet,True,"returns = pd.read_parquet(RETURNS_PATH, columns=[])"
src/tp_research/workflows/run_lowvol_multifactor_residual_research.py,102,read,read_parquet,True,"available = pd.read_parquet(TP_ROOT / ""00_screen"" / ""screen_aggregate.parquet"", engine=""pyarrow"").columns"
src/tp_research/workflows/run_lowvol_multifactor_residual_research.py,104,read,read_parquet,True,"screen = pd.read_parquet(TP_ROOT / ""00_screen"" / ""screen_aggregate.parquet"", columns=cols)"
src/tp_research/workflows/run_lowvol_multifactor_residual_research.py,108,read,read_parquet,True,"returns = pd.read_parquet(TP_ROOT / ""00_screen"" / ""returns.parquet"")"
src/tp_research/workflows/run_lowvol_resvol_research.py,117,read,read_parquet,True,"available = pd.read_parquet(TP_ROOT / ""00_screen"" / ""screen_aggregate.parquet"", engine=""pyarrow"").columns"
src/tp_research/workflows/run_lowvol_resvol_research.py,119,read,read_parquet,True,"screen = pd.read_parquet(TP_ROOT / ""00_screen"" / ""screen_aggregate.parquet"", columns=cols)"
src/tp_research/workflows/run_lowvol_resvol_research.py,123,read,read_parquet,True,"returns = pd.read_parquet(TP_ROOT / ""00_screen"" / ""returns.parquet"")"
tools/duckdb_migration_audit.py,79,read,read_screen_aggregate,True,"r""read_screen_aggregate"","
tools/duckdb_migration_audit.py,80,read,read_last_screen,True,"r""read_last_screen"","
